SN,TITLE,CONTENT_link,DATE,VOTE
192054.0,코로나 피해지원사업에 비영리민간단체로 포함부탁드립니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192054,2022-01-23 17:03:13.0,5.0
192036.0,보행로 지상을 침범하여 불안감을 조성하는 타워크레인을 퇴출시켜 주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192036,2022-01-19 16:20:37.0,1.0
192032.0,서울공예박물관 강좌제안드립니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192032,2022-01-19 12:40:00.0,14.0
192030.0,제설 단계별  대응책,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192030,2022-01-19 11:42:33.0,5.0
192027.0,가락시장에서 근무하는 근로자로서 코로나관련 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192027,2022-01-18 04:00:33.0,5.0
192025.0,604 배차 간격 좀 좁혀주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192025,2022-01-17 09:13:29.0,5.0
192024.0,정책의 일관성을 요청드립니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192024,2022-01-17 02:14:02.0,5.0
192023.0,서울시가 합리적인 방역지침을 만들어주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192023,2022-01-16 15:21:50.0,26.0
192022.0,배려의 습관을 만들어주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192022,2022-01-16 14:15:32.0,5.0
192021.0,중고등학교 기출문제 앱을 제안합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192021,2022-01-15 14:32:41.0,4.0
192016.0,1인가구 도어가드 센서 추가 설치할 수 있게 해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192016,2022-01-13 14:38:42.0,1.0
192014.0,안녕하세요!!^^,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192014,2022-01-13 00:09:57.0,6.0
192012.0,남산터널 하이패스 사용,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192012,2022-01-12 15:38:08.0,1.0
192009.0,서리풀 터널을 경유하는 순환버스좀 만들어주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192009,2022-01-11 18:37:31.0,3.0
192004.0,소극행정 민원,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=192004,2022-01-11 10:03:00.0,1.0
191995.0,5+1 환승제,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191995,2022-01-09 12:43:38.0,2.0
191994.0,화장실 쓰레기통 의무 설치,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191994,2022-01-08 16:03:06.0,1.0
191985.0,3217노선변경 절대반대,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191985,2022-01-06 14:49:11.0,390.0
191980.0,서울역 주변은 전국에서 가장 더러운곳  ...,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191980,2022-01-05 13:53:27.0,1.0
191978.0,국제적 망신이된 서울역!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191978,2022-01-04 16:36:29.0,46.0
191976.0,3217번 노선버스 북위례 위례대로 경유 요청드립니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191976,2022-01-04 09:51:59.0,199.0
191975.0,시내버스안전사고예방홍보요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191975,2022-01-03 09:57:49.0,6.0
191970.0,여의도 금융자치구 선정,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191970,2021-12-30 09:14:40.0,149.0
191966.0,서울 시내버스 연장 요청합니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191966,2021-12-29 14:50:44.0,5.0
191961.0,용산 정비창 가이드라인,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191961,2021-12-28 18:13:49.0,1.0
191960.0,서울시 홈페이지 첫인상,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191960,2021-12-28 18:12:52.0,1.0
191957.0,"모두를 위한 도로, 주말 광화문 사거리의 차없는 거리 우선 지정을 제안합니다",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191957,2021-12-28 13:00:18.0,3.0
191956.0,"서울시내 대학 캠퍼스, 중고나눔터가 되다",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191956,2021-12-28 12:42:12.0,2.0
191952.0,길고양이 중성화 사업 확대,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191952,2021-12-27 17:21:47.0,1.0
191951.0,장위11구역세권개발,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191951,2021-12-27 17:02:09.0,7.0
191947.0,상하행 버스정류장 구분,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191947,2021-12-27 09:47:17.0,3.0
191946.0,노인분들을 챙겨주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191946,2021-12-26 22:43:12.0,1.0
191945.0,역세권 주택 및 공공임대주택 건립 관련 운영기준 개정 요구,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191945,2021-12-26 19:16:29.0,159.0
191944.0,청소년들의 백신 신뢰도를 높여주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191944,2021-12-26 17:59:32.0,1.0
191941.0,"""사 놓고 안 입는 옷을 위한 공유 공간을 제안합니다""",http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191941,2021-12-24 17:15:05.0,9.0
191936.0,염화칼슘 지도를 만들어주세요!& 주민센터 다양한 소식도 페이스북 서촌에 정보를 올려주세요!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191936,2021-12-24 10:32:30.0,1.0
191930.0,시민 책 공유 플랫폼 구축을 통한 작은도서관 도서 콘텐츠 다양성 확보 및 시민공동체 조성,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191930,2021-12-23 10:53:12.0,1.0
191929.0,사용안한 서울사랑상품권 유효기간내 구매금액으로 전액환불 요청,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191929,2021-12-23 10:12:31.0,1.0
191928.0,공유 서비스 따릉이의 에코마일리지 적립 서비스 운영 개선,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191928,2021-12-23 10:08:38.0,3.0
191926.0,서울시 공용벤치의 확대,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191926,2021-12-22 20:22:11.0,5.0
191925.0,코로나 위기 극복을 위한 초록 리본 운동(ON/OFF),http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191925,2021-12-22 16:09:58.0,5.0
191924.0,전국민 회식합시다(소상공인살리기 국민참여),http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191924,2021-12-22 14:37:03.0,5.0
191923.0,투명방음벽에 조류 충돌 방지 스티커를 붙여주세요!,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191923,2021-12-22 11:41:44.0,5.0
191921.0,시민단체 보조금 지원 시스템 개선,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191921,2021-12-22 09:37:26.0,5.0
191918.0,서울시 맨홀을 개성있게 바꿔주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191918,2021-12-21 21:37:42.0,5.0
191913.0,지하철 신설 부탁드립니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191913,2021-12-20 12:35:48.0,1.0
191902.0,서울시 노숙자 월동대책 방안에 대해서,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191902,2021-12-18 11:54:23.0,1.0
191893.0,돈암동 더？아파트 단지 지하 1층부터 한진한신 아파트 단지까지 이어지는 오르막길에 계단설치 건의,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191893,2021-12-17 09:44:11.0,5.0
